City_ID_No.,City,Country,Lat.,Long.,Temperature,Humidity,Cloudiness,Wind Speed,Date
0,narsaq,GL,60.92,-46.05,57.2,44,33,8.05,1595201449
1,busselton,AU,-33.65,115.33,46.99,77,43,7.2,1595201333
2,kruisfontein,ZA,-34.0,24.73,53.24,39,0,6.08,1595201451
3,flin flon,CA,54.77,-101.86,73.4,38,20,4.7,1595201421
4,port alfred,ZA,-33.59,26.89,60.26,62,0,6.55,1595201452
5,olafsvik,IS,64.89,-23.71,48.2,79,31,8.05,1595201454
6,athmallik,IN,20.72,84.53,80.8,83,100,1.74,1595201457
7,zhigansk,RU,66.77,123.37,63.54,62,100,6.11,1595201458
8,butaritari,KI,3.07,172.79,83.44,77,75,15.3,1595201302
9,ballinasloe,IE,53.33,-8.22,44.87,92,1,2.73,1595201462
10,albany,US,42.6,-73.97,93.0,54,50,4.36,1595201226
11,khatanga,RU,71.97,102.5,51.8,78,98,2.62,1595201339
12,porto novo,BJ,6.5,2.6,77.0,94,40,8.05,1595201391
13,ust-kut,RU,56.79,105.77,56.46,61,0,2.53,1595201467
14,norman wells,CA,65.28,-126.83,64.4,68,75,8.05,1595201468
15,rikitea,PF,-23.12,-134.97,68.68,65,49,12.3,1595201289
16,santa isabel,BR,-23.32,-46.22,64.4,77,0,3.36,1595201470
17,college,US,64.86,-147.8,73.0,52,75,3.36,1595201473
18,kattivakkam,IN,13.22,80.32,80.6,88,40,5.82,1595201474
19,naryan-mar,RU,67.67,53.09,53.91,80,39,6.96,1595201475
20,hobart,AU,-42.88,147.33,48.2,49,75,17.22,1595201003
21,naifaru,MV,5.44,73.37,80.24,82,100,24.74,1595201477
22,cayenne,GF,4.93,-52.33,80.6,83,85,3.36,1595201334
23,tiksi,RU,71.69,128.87,61.77,59,16,9.26,1595201310
24,faya,SA,18.39,42.45,73.4,31,75,28.86,1595201446
25,portland,US,45.52,-122.68,91.0,33,20,8.05,1595201343
26,hasaki,JP,35.73,140.83,78.01,94,75,5.82,1595201388
27,vaini,TO,-21.2,-175.2,68.0,100,90,9.17,1595201354
28,hermanus,ZA,-34.42,19.23,53.01,96,3,3.0,1595201305
29,catuday,PH,16.29,119.81,82.29,76,34,8.95,1595201486
30,saskylakh,RU,71.92,114.08,59.5,62,31,10.65,1595201471
31,cap-aux-meules,CA,47.38,-61.86,71.6,73,5,6.93,1595201488
32,buraydah,SA,26.33,43.98,95.0,23,6,10.29,1595201489
33,blagoevgrad,BG,42.02,23.1,60.01,84,5,5.01,1595201490
34,udachnyy,RU,66.42,112.4,53.6,100,90,8.95,1595201491
35,dunedin,NZ,-45.87,170.5,46.99,74,67,4.0,1595201283
36,ushuaia,AR,-54.8,-68.3,28.4,92,0,6.93,1595201309
37,klaksvik,FO,62.23,-6.59,50.0,87,100,10.29,1595201385
38,ovalle,CL,-30.6,-71.2,59.68,74,88,2.42,1595201210
39,longyearbyen,SJ,78.22,15.64,44.6,87,75,12.75,1595201406
40,east london,ZA,-33.02,27.91,59.92,65,0,7.52,1595201344
41,high rock,BS,26.62,-78.28,84.2,79,40,11.41,1595201500
42,szaszvar,HU,46.28,18.38,59.16,94,45,3.91,1595201501
43,phek,IN,25.67,94.5,63.72,100,100,2.19,1595201504
44,edwardsville,US,38.81,-89.95,89.01,84,75,5.82,1595201471
45,lebu,CL,-37.62,-73.65,51.49,90,1,12.59,1595201379
46,baruun-urt,MN,46.68,113.28,55.24,53,30,14.99,1595201507
47,henties bay,NA,-22.12,14.28,72.0,23,0,7.87,1595201343
48,port elizabeth,ZA,-33.92,25.57,53.6,93,0,3.36,1595201370
49,pevek,RU,69.7,170.31,47.25,58,0,5.28,1595201469
50,qaanaaq,GL,77.48,-69.36,47.7,69,98,2.28,1595201512
51,ponta do sol,PT,32.67,-17.1,71.6,64,20,6.93,1595201300
52,bethel,US,41.37,-73.41,86.0,62,1,10.29,1595201281
53,upernavik,GL,72.79,-56.15,49.46,54,64,7.4,1595201321
54,punta arenas,CL,-53.15,-70.92,35.6,69,75,6.93,1595201320
55,inhambane,MZ,-23.86,35.38,66.02,80,31,10.09,1595201517
56,nisia floresta,BR,-6.09,-35.21,77.0,94,20,3.36,1595201518
57,fortuna,US,40.6,-124.16,70.0,72,20,12.75,1595201495
58,toora-khem,RU,52.47,96.11,56.57,57,0,1.23,1595201522
59,nikolskoye,RU,59.7,30.79,62.6,77,16,4.47,1595201468
60,souillac,MU,-20.52,57.52,66.2,88,40,5.82,1595201362
61,salalah,OM,17.02,54.09,78.8,94,75,2.24,1595201368
62,avarua,CK,-21.21,-159.78,73.4,88,77,10.29,1595201319
63,madang,PG,-5.22,145.8,83.91,70,18,0.96,1595201527
64,mahebourg,MU,-20.41,57.7,66.2,88,40,5.82,1595201407
65,faanui,PF,-16.48,-151.75,77.2,83,67,20.36,1595201436
66,cape town,ZA,-33.93,18.42,59.0,93,75,9.17,1595201233
67,sur,OM,22.57,59.53,85.82,73,53,12.39,1595201531
68,alice town,BS,25.72,-79.3,83.64,78,0,16.69,1595201533
69,yellowknife,CA,62.46,-114.35,75.0,49,40,8.05,1595201534
70,mizan teferi,ET,6.98,35.58,58.15,86,83,2.68,1595201535
71,murgab,TM,37.5,61.97,80.6,32,0,7.87,1595201536
72,kitimat,CA,54.05,-128.65,73.0,60,69,1.99,1595201529
73,chuy,UY,-33.7,-53.46,66.38,84,96,7.34,1595201410
74,bluff,NZ,-46.6,168.33,39.0,83,75,3.0,1595201411
75,bardiyah,LY,31.76,25.09,72.73,87,0,11.21,1595201544
76,mataura,NZ,-46.19,168.86,39.0,83,90,3.0,1595201312
77,shieli,KZ,44.17,66.75,80.08,27,4,10.87,1595201546
78,ardakan,IR,32.31,54.02,82.4,17,20,4.7,1595201547
79,saint george,US,37.1,-113.58,107.01,7,1,16.11,1595201548
80,thompson,CA,55.74,-97.86,75.2,44,75,4.7,1595201297
81,mehamn,NO,71.04,27.85,52.16,84,100,5.1,1595201552
82,beringovskiy,RU,63.05,179.32,45.12,76,60,15.17,1595201553
83,yeniseysk,RU,58.45,92.17,56.23,96,99,6.62,1595201554
84,sola,VU,-13.88,167.55,82.4,78,75,6.93,1595201382
85,la asuncion,VE,11.03,-63.86,86.0,74,11,13.87,1595201492
86,toamasina,MG,-18.17,49.38,67.42,81,55,12.5,1595201580
87,half moon bay,US,37.46,-122.43,78.01,82,90,6.93,1595201480
88,kropotkin,RU,45.44,40.58,71.19,59,8,6.87,1595201582
89,dikson,RU,73.51,80.55,40.93,96,100,12.08,1595201311
90,leningradskiy,RU,69.38,178.42,42.08,69,49,8.05,1595201462
91,goderich,CA,43.75,-81.72,78.01,85,81,15.7,1595201504
92,cabo san lucas,MX,22.89,-109.91,93.2,38,20,21.92,1595201105
93,barrow,US,71.29,-156.79,37.4,74,75,11.41,1595201392
94,yucca valley,US,34.11,-116.43,98.01,15,0,8.01,1595201590
95,shizunai,JP,42.33,142.37,68.79,84,13,5.46,1595201591
96,kapaa,US,22.08,-159.32,84.2,74,75,16.11,1595201361
97,atuona,PF,-9.8,-139.03,79.57,74,15,14.83,1595201296
98,georgetown,MY,5.41,100.34,78.8,94,20,2.24,1595201372
99,banting,MY,2.82,101.5,77.0,94,20,2.82,1595201595
100,esperance,AU,-33.87,121.9,50.0,76,90,3.36,1595201596
101,bredasdorp,ZA,-34.53,20.04,57.2,93,4,1.12,1595201301
102,black river,JM,18.03,-77.85,86.0,74,40,3.36,1595201598
103,areosa,PT,41.72,-8.86,64.0,93,90,1.12,1595201600
104,aksarka,RU,66.56,67.8,48.52,79,28,7.78,1595201601
105,bengkulu,ID,-3.8,102.27,75.4,91,46,5.06,1595201371
106,miandrivazo,MG,-19.52,45.47,63.82,52,0,3.65,1595201603
107,san patricio,MX,19.22,-104.7,87.8,74,40,11.41,1595201604
